,aid_type,year,value,donor,value_constant
0,ODA: Total Net,2000,2828.8,France,4834.729106135704
1,Imputed Multilateral ODA,2000,1337.99,France,2286.771492052641
2,ODA: Total Net,2001,2595.79,France,4475.5
3,Imputed Multilateral ODA,2001,1725.49,France,2974.9827586206898
4,ODA: Total Net,2002,3615.0,France,5803.499759190881
5,Imputed Multilateral ODA,2002,2007.43,France,3222.716326858244
6,ODA: Total Net,2003,5213.39,France,6853.4113316682015
7,Imputed Multilateral ODA,2003,2128.49,France,2798.0675693440253
8,ODA: Total Net,2004,5566.8,France,6549.176470588236
9,Imputed Multilateral ODA,2004,3088.97,France,3634.0823529411764
10,ODA: Total Net,2005,7239.19,France,8351.626672819566
11,Imputed Multilateral ODA,2005,3002.94,France,3464.3977849561606
12,ODA: Total Net,2006,7919.4,France,8855.417645085541
13,Imputed Multilateral ODA,2006,3317.39,France,3709.4822766409475
14,ODA: Total Net,2007,6258.44,France,6256.563031090673
15,Imputed Multilateral ODA,2007,3749.91,France,3748.785364390683
16,ODA: Total Net,2008,6668.97,France,6181.267958105478
17,Imputed Multilateral ODA,2008,4345.66,France,4027.8617110019463
18,ODA: Total Net,2009,7186.79,France,6894.464696853415
19,Imputed Multilateral ODA,2009,5443.14,France,5221.738296239448
20,ODA: Total Net,2010,8055.56,France,8038.678774573396
21,Imputed Multilateral ODA,2010,4937.3,France,4926.953397864485
22,ODA: Total Net,2011,8494.69,France,7999.519728788022
23,Imputed Multilateral ODA,2011,4514.08,France,4250.946416800075
24,ODA: Total Net,2012,7929.17,France,7985.065458207452
25,Imputed Multilateral ODA,2012,3895.47,France,3922.930513595166
26,ODA: Total Net,2013,6800.51,France,6578.804295250073
27,Imputed Multilateral ODA,2013,4274.71,France,4135.348747218729
28,ODA: Total Net,2014,6513.7,France,6269.80460102031
29,Imputed Multilateral ODA,2014,3968.99,France,3820.3773221676774
30,ODA: Total Net,2015,5155.27,France,5868.264086511099
31,Imputed Multilateral ODA,2015,3796.45,France,4321.5139442231075
32,ODA: Total Net,2016,5641.5,France,6407.882780554293
33,Imputed Multilateral ODA,2016,3881.76,France,4409.086778736938
34,ODA: Total Net,2017,6649.07,France,7370.657355060415
35,Imputed Multilateral ODA,2017,4617.2,France,5118.279569892474
36,ODA: Total Net,2018,7372.2,France,7728.483069504141
37,Imputed Multilateral ODA,2018,5479.73,France,5744.553936471328
38,ODA: Total Net,2019,7443.95,France,8123.922296191204
39,Imputed Multilateral ODA,2019,4384.39,France,4784.8848630361235
40,ODA: Total Net,2020,10671.47,France,11157.956921790044
41,Imputed Multilateral ODA,2020,4978.62,France,5205.583437892095
0,1: GNI,2000,1346565.0,France,2301427.1064775256
1,1: GNI,2001,1356720.0,France,2339172.413793104
2,1: GNI,2002,1463376.0,France,2349295.231979451
3,1: GNI,2003,1799115.0,France,2365078.2174313134
4,1: GNI,2004,2058806.0,France,2422124.705882353
5,1: GNI,2005,2117069.35,France,2442396.573604061
6,1: GNI,2006,2266599.72,France,2534495.9409594093
7,1: GNI,2007,2603832.99,France,2603052.074377687
8,1: GNI,2008,2831457.16,France,2624392.5850403192
9,1: GNI,2009,2677753.95,France,2568835.331926324
10,1: GNI,2010,2606748.45,France,2601285.7499251575
11,1: GNI,2011,2828439.93,France,2663565.2415481685
12,1: GNI,2012,2657069.41,France,2675800.0100704934
13,1: GNI,2013,2793907.04,France,2702821.940601722
14,1: GNI,2014,2885067.47,France,2777040.591009722
15,1: GNI,2015,2458662.56,France,2798705.2475811043
16,1: GNI,2016,2503949.61,France,2844104.509313948
17,1: GNI,2017,2647390.37,France,2934697.228688616
18,1: GNI,2018,2838937.8,France,2976137.75028829
19,1: GNI,2019,2768625.33,France,3021527.1526792534
20,1: GNI,2020,2665742.45,France,2787267.304475115
21,1: GNI,2021,2981749.05,France,2981749.05
